"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","DemoQA UI","0","Widgets","1","0","Accordion","0"
"0","DemoQA UI","0","Widgets","3","0","Auto Complete","0"
"0","DemoQA UI","0","Widgets","1","0","Tabs","0"
"0","DemoQA UI","0","Widgets","1","1","Progress Bar","0"
"0","DemoQA UI","0","Elements","8","0","Links","0"
"0","ReqRes","0","Default API","2","0","Login user","0"
"0","DemoQA API","0","Book Store","2","0","Authorized","0"
"0","DemoQA API","0","Book Store","1","0","Add books","0"
"0","DemoQA UI","0","Elements","3","1","Dynamic Properties","0"
"0","DemoQA UI","0","Elements","3","1","Broken Links - Images","0"
"0","ReqRes","0","Default API","2","0","Single User","0"
"0","DemoQA UI","0","Elements","3","1","Buttons","0"
"0","DemoQA UI","0","Forms","4","0","Practice Form","0"
"0","DemoQA API","0","Book Store","1","0","Get books","0"
"0","DemoQA UI","0","Alerts, Frame & Windows","2","0","Modal Dialogs","0"
"0","DemoQA UI","0","Widgets","1","0","Tool Tips","0"
"0","DemoQA API","0","Book Store","2","0","Generate Token","0"
"0","DemoQA UI","0","Elements","10","0","Web Tables","0"
"0","ReqRes","0","Default API","4","0","List users","0"
"0","DemoQA API","0","Book Store","2","0","Register User","0"
"0","DemoQA UI","0","Interactions","2","0","Sortable","0"
"0","DemoQA UI","0","Interactions","5","0","Draggable","0"
"0","DemoQA UI","0","Elements","4","0","Text Box","0"
"0","DemoQA UI","0","Interactions","5","1","Resizable","0"
"0","ReqRes","0","Default API","2","0","Update User","0"
"0","DemoQA UI","0","Alerts, Frame & Windows","2","0","Frames","0"
"0","DemoQA API","0","Book Store","1","0","Delete Books","0"
"0","DemoQA UI","1","Alerts, Frame & Windows","4","0","Alerts","0"
"0","DemoQA UI","0","Alerts, Frame & Windows","3","0","Browser Windows","0"
"0","DemoQA UI","0","Alerts, Frame & Windows","1","0","Nested Frames","0"
"0","DemoQA UI","0","Widgets","5","0","Select Menu","0"
"0","DemoQA UI","0","Interactions","4","0","Droppable","0"
"0","DemoQA UI","0","Elements","2","0","Upload and Download","0"
"0","DemoQA API","0","Book Store","1","0","Get book","0"
"0","ReqRes","0","Default API","2","0","Single Resource","0"
"0","DemoQA UI","0","Widgets","1","0","Slider","0"
"0","DemoQA UI","0","Elements","3","0","Check Box","0"
"0","DemoQA API","0","Book Store","1","0","Delete Book","0"
"0","DemoQA UI","0","Interactions","2","0","Selectable","0"
"0","ReqRes","0","Default API","2","0","List resources","0"
"0","ReqRes","0","Default API","1","0","Create user","0"
"0","DemoQA UI","0","Elements","3","0","Radio Button","0"
"0","DemoQA UI","0","Widgets","2","0","Date Picker","0"
"0","DemoQA API","0","Book Store","1","0","Get user books","0"
"0","ReqRes","0","Default API","2","0","Register user","0"
"0","ReqRes","0","Default API","1","0","Delayed response","0"
"0","ReqRes","0","Default API","1","0","Delete user","0"
"0","DemoQA UI","0","Widgets","1","0","Menu","0"
"0","DemoQA API","0","Book Store","1","0","Delete User","0"
"0","DemoQA API","0","Book Store","1","0","Change Book","0"
