"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete user
Check status code 204","818","Successful delete [1]","","Thu Apr 23 21:35:29 UTC 2026","passed","Thu Apr 23 21:35:30 UTC 2026","","tests.reqres.tests.DeleteUserTest","tests.reqres.tests.DeleteUserTest","successDeleteTest"
"Get resource by id '2'
Check that resource is real","1634","Get existing resource [1]","","Thu Apr 23 21:35:25 UTC 2026","passed","Thu Apr 23 21:35:26 UTC 2026","","tests.reqres.tests.SingleResourceTest","tests.reqres.tests.SingleResourceTest","getRealResourceTest"
"","3188","Fill wrong email","","Thu Apr 23 21:36:19 UTC 2026","passed","Thu Apr 23 21:36:22 UTC 2026","","tests.demoqa.tests.forms.PracticeFormTest","tests.demoqa.tests.forms.PracticeFormTest","wrongEmailTest"
"Login user without password
Check error 'Missing password'","1025","Unsuccessful login [1]","","Thu Apr 23 21:35:28 UTC 2026","passed","Thu Apr 23 21:35:29 UTC 2026","","tests.reqres.tests.LoginUserTest","tests.reqres.tests.LoginUserTest","unsuccessfulLoginTest"
"","21137","Verify text inside the large modal dialog","","Thu Apr 23 21:35:41 UTC 2026","passed","Thu Apr 23 21:36:02 UTC 2026","","tests.demoqa.tests.alertsFrameWindows.ModalDialogsTest","tests.demoqa.tests.alertsFrameWindows.ModalDialogsTest","largeModalTest"
"","54384","Change subjects","","Thu Apr 23 21:35:03 UTC 2026","passed","Thu Apr 23 21:35:58 UTC 2026","","tests.demoqa.tests.forms.PracticeFormTest","tests.demoqa.tests.forms.PracticeFormTest","changeSubjectsTest"
"Create invalid user
Login
Check token, status, message
Delete user","6197","Unsuccessful Generate Token","","Thu Apr 23 21:35:43 UTC 2026","passed","Thu Apr 23 21:35:50 UTC 2026","","tests.demoqa.tests.bookStoreApplication.GenerateTokenTest","tests.demoqa.tests.bookStoreApplication.GenerateTokenTest","errorGenerateTokenTest"
"","36328","Select one sub-item","","Thu Apr 23 21:35:04 UTC 2026","passed","Thu Apr 23 21:35:41 UTC 2026","","tests.demoqa.tests.elements.CheckBoxTest","tests.demoqa.tests.elements.CheckBoxTest","selectOneTest"
"Create new invalid user
Authorized
Check that response has 404","5919","Unsuccessful Authorized","","Thu Apr 23 21:35:14 UTC 2026","passed","Thu Apr 23 21:35:20 UTC 2026","","tests.demoqa.tests.bookStoreApplication.AuthorizedTest","tests.demoqa.tests.bookStoreApplication.AuthorizedTest","notFoundAuthorizedTest"
"Create new user
Login
Add list of books
Check that book is added
Delete user","7071","Add list of books","","Thu Apr 23 21:35:31 UTC 2026","passed","Thu Apr 23 21:35:38 UTC 2026","","tests.demoqa.tests.bookStoreApplication.AddListOfBooksTest","tests.demoqa.tests.bookStoreApplication.AddListOfBooksTest","addListOfBooksTest"
"","11030","Drag elements restricted to single axis [1]","","Thu Apr 23 21:36:04 UTC 2026","passed","Thu Apr 23 21:36:15 UTC 2026","","tests.demoqa.tests.interactions.DraggableTest","tests.demoqa.tests.interactions.DraggableTest","axisRestrictedTest"
"","5870","Drag element inside parent and check [1]","","Thu Apr 23 21:36:22 UTC 2026","passed","Thu Apr 23 21:36:28 UTC 2026","","tests.demoqa.tests.interactions.DraggableTest","tests.demoqa.tests.interactions.DraggableTest","containerRestrictedParentTest"
"","6193","Fill only required fields","","Thu Apr 23 21:35:58 UTC 2026","passed","Thu Apr 23 21:36:04 UTC 2026","","tests.demoqa.tests.elements.TextBoxTest","tests.demoqa.tests.elements.TextBoxTest","fillPartialFormTest"
"","14195","Select and unselect one sub-item","","Thu Apr 23 21:35:41 UTC 2026","passed","Thu Apr 23 21:35:55 UTC 2026","","tests.demoqa.tests.elements.CheckBoxTest","tests.demoqa.tests.elements.CheckBoxTest","selectAndUnselectTest"
"","64104","Select date and time","","Thu Apr 23 21:35:02 UTC 2026","passed","Thu Apr 23 21:36:07 UTC 2026","","tests.demoqa.tests.widgets.DatePickerTest","tests.demoqa.tests.widgets.DatePickerTest","selectDateAndTimeTest"
"","24377","Resize to above maximum limit [1]","","Thu Apr 23 21:35:34 UTC 2026","skipped","Thu Apr 23 21:35:59 UTC 2026","","tests.demoqa.tests.interactions.ResizableTest","tests.demoqa.tests.interactions.ResizableTest","resizableBoxAboveMaximumTest"
"","61015","Check progress bar filling and control buttons [1]","","Thu Apr 23 21:35:00 UTC 2026","skipped","Thu Apr 23 21:36:01 UTC 2026","","tests.demoqa.tests.widgets.ProgressBarTest","tests.demoqa.tests.widgets.ProgressBarTest","progressBarTest"
"","14093","Button becomes enabled after 5 seconds [1]","","Thu Apr 23 21:35:27 UTC 2026","passed","Thu Apr 23 21:35:41 UTC 2026","","tests.demoqa.tests.elements.DynamicPropertiesTest","tests.demoqa.tests.elements.DynamicPropertiesTest","willEnableButtonTest"
"","1292","Fill negative age","","Thu Apr 23 21:37:16 UTC 2026","passed","Thu Apr 23 21:37:17 UTC 2026","","tests.demoqa.tests.elements.WebTablesTest","tests.demoqa.tests.elements.WebTablesTest","negativeAgeTest"
